door_count,fiscal_power,mileage,price,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking,brand,condition,fuel_type,model,origin,first_owner,sector,seller_city,transmission
5.0,6.0,144999.0,98000.0,2019.0,2025.0,1.0,12.0,1,0,108.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,87.0,0.0
5.0,5.0,12499.0,110000.0,2021.0,2025.0,3.0,22.0,7,1,39.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0.0,0.0,50.0,0.0,1.0,3.0,32.0,0.0
5.0,6.0,124999.0,198000.0,2018.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,9.0,0.0,0.0,48.0,0.0,1.0,3.0,9.0,1.0
3.0,6.0,92499.0,24000.0,2002.0,2025.0,2.0,11.0,3,0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1.0,1.0,214.0,0.0,1.0,11.0,1.0,0.0
5.0,12.0,224999.0,300000.0,2017.0,2024.0,9.0,14.0,7,1,228.0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,14.0,0.0,0.0,35.0,0.0,1.0,0.0,13.0,1.0
5.0,6.0,164999.0,172000.0,2016.0,2025.0,1.0,12.0,1,0,108.0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,15.0,0.0,0.0,16.0,0.0,1.0,5.0,4.0,0.0
5.0,7.0,374999.0,75000.0,2015.0,2025.0,2.0,11.0,3,0,78.0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,7.0,0.0,0.0,50.0,0.0,0.0,2.0,130.0,0.0
5.0,8.0,194999.0,65000.0,2005.0,2025.0,4.0,1.0,3,0,29.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,8.0,2.0,0.0,47.0,1.0,1.0,12.0,1.0,0.0
5.0,6.0,72499.0,108000.0,2021.0,2025.0,3.0,13.0,5,0,48.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,11.0,0.0,1.0,25.0,0.0,1.0,7.0,77.0,0.0
5.0,11.0,134999.0,75000.0,2006.0,2025.0,4.0,3.0,5,0,27.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,20.0,0.0,1.0,77.0,0.0,1.0,2.0,132.0,0.0
5.0,9.0,17499.0,170000.0,2024.0,2025.0,4.0,10.0,5,0,20.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,37.0,0.0,1.0,325.0,0.0,1.0,0.0,26.0,1.0
5.0,8.0,274999.0,350000.0,2017.0,2025.0,2.0,11.0,3,0,78.0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,113.0,1.0
3.0,6.0,124999.0,132000.0,2015.0,2025.0,3.0,13.0,5,0,48.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0,1.0,0.0,220.0,0.0,1.0,0.0,12.0,0.0
5.0,6.0,224999.0,99000.0,2018.0,2025.0,3.0,18.0,3,0,43.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,52.0,0.0
5.0,7.0,87499.0,88000.0,2017.0,2025.0,4.0,9.0,4,0,21.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,6.0,1.0,1.0,15.0,0.0,0.0,2.0,265.0,0.0
5.0,6.0,224999.0,110000.0,2011.0,2024.0,9.0,14.0,7,1,228.0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,14.0,1.0,0.0,119.0,2.0,0.0,1.0,149.0,1.0
5.0,8.0,194999.0,170000.0,2014.0,2025.0,1.0,12.0,1,0,108.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,1.0,0.0,2.0,0.0,1.0,9.0,1.0,0.0
5.0,6.0,52499.0,250000.0,2019.0,2025.0,2.0,11.0,3,0,78.0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,6.0,0.0,0.0,18.0,0.0,1.0,5.0,45.0,0.0
5.0,6.0,32499.0,175000.0,2023.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,2.0,0.0,0.0,109.0,0.0,1.0,0.0,43.0,0.0
5.0,9.0,144999.0,55000.0,2008.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0.0,1.0,281.0,2.0,1.0,7.0,77.0,0.0
5.0,5.0,174999.0,63000.0,2014.0,2025.0,1.0,12.0,1,0,108.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7.0,1.0,0.0,76.0,0.0,0.0,10.0,87.0,0.0
5.0,8.0,114999.0,245000.0,2017.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,8.0,0.0,0.0,94.0,0.0,0.0,0.0,140.0,1.0
5.0,9.0,324999.0,75000.0,2006.0,2025.0,1.0,12.0,1,0,108.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,12.0,0.0,0.0,167.0,0.0,1.0,32.0,0.0,0.0
5.0,5.0,154999.0,108000.0,2017.0,2025.0,2.0,11.0,3,0,78.0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,12.0,0.0,0.0,78.0,0.0,0.0,10.0,28.0,0.0
5.0,7.0,104999.0,120000.0,2022.0,2025.0,3.0,22.0,7,1,39.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,101.0,0.0
5.0,7.0,224999.0,53000.0,2025.0,2025.0,3.0,13.0,5,0,48.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,5.0,0.0,0.0,76.0,0.0,0.0
5.0,8.0,114999.0,258000.0,2021.0,2025.0,4.0,6.0,1,0,24.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,6.0,0.0,0.0,18.0,1.0,1.0,12.0,1.0,1.0
