brand,condition,door_count,first_owner,fiscal_power,fuel_type,mileage,model,origin,price,sector,seller_city,transmission,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking
bmw,Excellent,5,Oui,6,diesel,124999,Série 1,WW au Maroc,198000,Rabat,Hay Riad,Automatique,2018,2025,3,13,5,0,48,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
fiat,Très bon,3,Oui,6,essence,92499,Uno,WW au Maroc,24000,Temara,Autre secteur,Manuelle,2002,2025,2,11,3,0,78,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
land rover,Excellent,5,Oui,12,diesel,224999,Range Rover Sport,WW au Maroc,300000,Casablanca,Californie,Automatique,2017,2024,9,14,7,1,228,True,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False
nissan,Excellent,5,Oui,6,diesel,164999,Qashqai,WW au Maroc,172000,Fes,Agdal,Manuelle,2016,2025,1,12,1,0,108,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,False
fiat,Excellent,5,Non,7,diesel,374999,Doblo,WW au Maroc,75000,Marrakech,Massira 3,Manuelle,2015,2025,2,11,3,0,78,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False
audi,Bon,5,Oui,8,diesel,194999,A4,Dédouanée,65000,Oujda,Autre secteur,Manuelle,2005,2025,4,1,3,0,29,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
kia,Excellent,5,Oui,6,essence,72499,Picanto,WW au Maroc,108000,Kenitra,La Ville Haute,Manuelle,2021,2025,3,13,5,0,48,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False
honda,Excellent,5,Oui,11,essence,134999,CR-V,WW au Maroc,75000,Marrakech,Annakhil,Manuelle,2006,2025,4,3,5,0,27,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
geely,Excellent,5,Oui,9,essence,17499,GX3 PRO,WW au Maroc,170000,Casablanca,Sidi Moumen,Automatique,2024,2025,4,10,5,0,20,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
volkswagen,Excellent,5,Oui,8,diesel,274999,Tiguan,Importée neuve,350000,Meknes,Zitoune,Automatique,2017,2025,2,11,3,0,78,True,False,True,False,True,False,True,False,False,True,True,False,True,True,True,False
mini,Très bon,3,Oui,6,diesel,124999,One,WW au Maroc,132000,Casablanca,Anfa,Manuelle,2015,2025,3,13,5,0,48,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
renault,Très bon,5,Non,6,diesel,224999,Clio,WW au Maroc,99000,Rabat,Souissi,Manuelle,2018,2025,3,18,3,0,43,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
ford,Très bon,5,Non,7,essence,87499,Fiesta,WW au Maroc,88000,Marrakech,Socoma,Manuelle,2017,2025,4,9,4,0,21,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False
land rover,Très bon,5,Non,6,diesel,224999,Freelander,Importée neuve,110000,Tanger,Al Amal,Automatique,2011,2024,9,14,7,1,228,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False
volkswagen,Très bon,5,Oui,8,diesel,194999,Tiguan,WW au Maroc,170000,Tétouan,Autre secteur,Manuelle,2014,2025,1,12,1,0,108,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
ford,Excellent,5,Oui,6,diesel,52499,Kuga,WW au Maroc,250000,Fes,Route Ain Chkaf,Manuelle,2019,2025,2,11,3,0,78,True,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False
dacia,Excellent,5,Oui,6,diesel,32499,Lodgy,WW au Maroc,175000,Casablanca,Abdelmoumen,Manuelle,2023,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
alfa romeo,Excellent,5,Oui,9,essence,144999,147,Importée neuve,55000,Kenitra,La Ville Haute,Manuelle,2008,2025,3,13,5,0,48,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
fiat,Très bon,5,Non,5,diesel,174999,Punto,WW au Maroc,63000,El Jadida,Al Kodia,Manuelle,2014,2025,1,12,1,0,108,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
audi,Excellent,5,Non,8,diesel,114999,A5,WW au Maroc,245000,Casablanca,La Gironde,Automatique,2017,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
toyota,Excellent,5,Oui,9,diesel,324999,RAV-4,WW au Maroc,75000,Errachidia,Toute la ville,Manuelle,2006,2025,1,12,1,0,108,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False
toyota,Excellent,5,Non,5,diesel,154999,Yaris,WW au Maroc,108000,El Jadida,Hay Essalam,Manuelle,2017,2025,2,11,3,0,78,False,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
dacia,Excellent,5,Oui,7,diesel,104999,Logan,WW au Maroc,120000,Kenitra,Bab Fès,Manuelle,2022,2025,3,22,7,1,39,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
renault,Excellent,5,Non,7,diesel,224999,Megane,WW au Maroc,53000,Ouled Teïma,Toute la ville,Manuelle,2025,2025,3,13,5,0,48,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ford,Excellent,5,Oui,8,diesel,114999,Kuga,Dédouanée,258000,Oujda,Autre secteur,Automatique,2021,2025,4,6,1,0,24,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
volkswagen,Bon,5,Non,8,diesel,2499,Polo,WW au Maroc,45000,Agadir,Autre secteur,Manuelle,2004,2024,10,14,2,0,198,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fiat,Excellent,3,Non,6,essence,72499,500,WW au Maroc,95000,Casablanca,Ain Sebaa,Manuelle,2017,2025,2,11,3,0,78,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ford,Très bon,3,Oui,7,diesel,97499,Focus,WW au Maroc,60000,El Jadida,Quartier Aérodrome,Manuelle,2005,2024,9,14,7,1,228,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
dacia,Bon,5,Non,8,essence,97499,Logan,WW au Maroc,55000,Casablanca,Hay Sadri,Manuelle,2010,2024,9,14,7,1,228,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
dacia,Très bon,5,Non,6,diesel,32499,Logan,WW au Maroc,88000,Sidi Kacem,Toute la ville,Manuelle,2019,2025,3,13,5,0,48,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
mercedes-benz,Excellent,5,Non,8,diesel,104999,220,Dédouanée,275000,Casablanca,Bourgogne,Automatique,2016,2025,2,11,3,0,78,True,True,True,False,True,False,True,False,False,True,False,False,True,True,True,False
dacia,Excellent,5,Oui,6,diesel,154999,Duster,WW au Maroc,120000,Rabat,Agdal,Manuelle,2013,2025,4,8,3,0,22,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
peugeot,Correct,5,Non,6,diesel,144999,206,WW au Maroc,35000,Tanger,Achennad,Manuelle,2001,2025,4,5,7,1,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
peugeot,Excellent,5,Oui,8,diesel,92499,3008,WW au Maroc,270000,Rabat,Autre secteur,Automatique,2020,2025,3,28,6,1,33,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
alfa romeo,Très bon,5,Non,6,diesel,174999,Giulietta,WW au Maroc,100400,Marrakech,Guéliz,Manuelle,2012,2025,3,13,5,0,48,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False
ford,Excellent,5,Non,6,diesel,224999,Fiesta,WW au Maroc,85000,Fes,Autre secteur,Manuelle,2010,2025,3,23,1,0,38,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False
ford,Très bon,5,Oui,6,diesel,72499,Fiesta,WW au Maroc,130000,Tanger,Aida,Manuelle,2020,2025,2,11,3,0,78,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False
citroën,Très bon,5,Non,6,diesel,32499,Berlingo,WW au Maroc,86000,El Jadida,Centre,Manuelle,2012,2025,1,12,1,0,108,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False
kia,Très bon,5,Non,6,diesel,274999,Cerato,WW au Maroc,67000,El Jadida,Hay Essalam,Manuelle,2009,2025,2,11,3,0,78,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False
renault,Excellent,5,Non,7,essence,37499,Clio,WW au Maroc,46000,Ifrane Atlas Saghir,Toute la ville,Automatique,2000,2025,2,11,3,0,78,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
suzuki,Excellent,5,Non,6,essence,174999,Alto,WW au Maroc,31000,Sale,Hay Salam,Manuelle,2004,2025,4,12,7,1,18,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
volkswagen,Excellent,5,Oui,7,essence,37499,Golf 8,Pas encore dédouanée,310000,Kenitra,alliance,Manuelle,2024,2025,3,21,6,1,40,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
renault,Excellent,5,Non,6,diesel,164999,Kangoo,WW au Maroc,75000,Tanger,Ahlane,Manuelle,2008,2025,2,11,3,0,78,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
dacia,Correct,5,Non,6,diesel,194999,Logan,WW au Maroc,77000,Tanger,Ahammar,Manuelle,2011,2024,9,14,7,1,228,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
audi,Très bon,5,Non,8,diesel,164999,Q5,WW au Maroc,252000,Agadir,Hay Zaytoun,Automatique,2015,2025,3,13,5,0,48,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
dacia,Excellent,5,Oui,6,diesel,62499,Sandero,WW au Maroc,115000,Marrakech,M'Hamid,Manuelle,2020,2025,1,12,1,0,108,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False
peugeot,Excellent,5,Non,6,diesel,174999,208,WW au Maroc,92000,Safi,LABC,Manuelle,2017,2025,2,11,3,0,78,False,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False
hyundai,Bon,3,Oui,9,diesel,224999,Santa Fe,WW au Maroc,65000,Marrakech,Allal El Fassi,Manuelle,2009,2025,2,11,3,0,78,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
